adminID;DB_operator_code;DB_operator_name;DB_subnet_name;custom_short_name;custom_long_name;comment
AMRE;RE;Abellio Rail Mitteldeutschland GmbH;;;;
AMS;S;Abellio Rail Mitteldeutschland GmbH;;;;
aoeBus;DPN;Nahreisezug;;;;
apg__1;DPN;Nahreisezug;;;;
avv009;DPN;Nahreisezug;;;;
avvBus;DPN;Nahreisezug;;;;
B1;DB;DB Regio AG Nord;;;;
B1EDZ;DPN;Nahreisezug;;;;
B2;DB;DB Regio AG NRW;Busse/SEV Region NRW;;;
B3;P;Brohltalbahn;;;;
B4;S;DB Regio AG S-Bahn Rhein-Main;;;;
B5;DB;DB Regio AG Mitte;Busse/SEV Region Mitte;;;
B6;DB;DB Regio AG Baden-Württemberg;;;;
B7;DPN;Nahreisezug;Busse/SEV Region Bayern;;;Bus EV NMR - Cheb, Bus EV Nürnberg - Bayreuth, Bus SEV Mindelheim - Günzburg,
bacBus;DPN;Nahreisezug;;;Verkehrsbetriebe Bachstein GmbH;VGN 1545,1566,1573,1574 (eigentlich RBO?)
bambus;DPN;Nahreisezug;;;;
bayaut;DPN;Nahreisezug;;;;
BB;DB;DB Regio AG Nordost;;;;
bcl001;DPN;Nahreisezug;;;;
BD;SDG;SDG Sächsische Dampfeisenbahngesellschaft mbH;;;;
BE;BE;Bentheimer Eisenbahn;;;;
bod000;DPN;Nahreisezug;;;;
bod001;DPN;Nahreisezug;;;;
bod002;DPN;Nahreisezug;;;;
bod003;DPN;Nahreisezug;;;;
bod004;DPN;Nahreisezug;;;;
bod005;DPN;Nahreisezug;;;;
bod006;DPN;Nahreisezug;;;;
bod008;DPN;Nahreisezug;;;;
bod012;DPN;Nahreisezug;;;;
bod013;DPN;Nahreisezug;;;;
bod014;DPN;Nahreisezug;;;;
bod015;DPN;Nahreisezug;;;;
bod018;DPN;Nahreisezug;;;;
bod019;DPN;Nahreisezug;;;;
bod020;DPN;Nahreisezug;;;;
bod031;DPN;Nahreisezug;;;;
BurBus;DPN;Nahreisezug;;;;
BW;DB;DB Regio AG Nordost;;;;
byr001;DPN;Nahreisezug;;Stadtwerke Bayreuth;Stadtwerke Bayreuth Verkehr- und Bäder GmbH;
C6;KTB;Kandertalbahn;;;;
C8;LEO;Chiemgauer Lokalbahn;;;;
CD;CB;City-Bahn Chemnitz;;;;
cha016;DPN;Nahreisezug;;;Stadtwerke Cham GmbH;Durchgeführt von Omnibusunternehmen Johannes Baumgartner e.K. (Rufbusse Cham)
cobBus;DPN;Nahreisezug;;;;
css002;P;Chiemseebahn;;;;
csscss;DPN;Nahreisezug;;;;
cw001;DPN;Nahreisezug;;;;
cw010;DPN;Nahreisezug;;;;
CX;MRB;Mitteldeutsche Regiobahn;;;;
CXRB;RB;Mitteldeutsche Regiobahn;;;;
CXRE;RE;Mitteldeutsche Regiobahn;Transdev Mitteldeutschland GmbH (RE);;;RE3,
D3;RTB;Rurtalbahn;Rurtalbahn GmbH;;;
daf005;DPN;Nahreisezug;;;;
dgfBus;DPN;Nahreisezug;;;;
drbBUS;DPN;Nahreisezug;;;;
E0;EVB;EVB ELBE-WESER GmbH;;;;
E3;P;Kasbachtalbahn;;;;
EB;RB;Erfurter Bahn GmbH;Erfurter Bahn GmbH (RB);;;
ED;FEG;Freiberger Eisenbahngesellschaft;;;;
estbus;DPN;Nahreisezug;;;;
etgBus;DPN;Nahreisezug;;;;
EX;RE;Erfurter Bahn GmbH;;;;
F1;DPN;Nahreisezug;;;;
F7;RB;Bodensee-Oberschwaben-Bahn;Bodensee-Oberschwaben-Bahn;;;
fds002;DPN;Nahreisezug;;;;
fdsBus;DPN;Nahreisezug;;;;
FisBus;DPN;Nahreisezug;;;;
FLX10;FLX;FlixTrain;FlixTrain (FLX10);;;
FLX11;FLX;FlixTrain;FlixTrain (FLX11);;;
FLX15;FLX;FlixTrain;FlixTrain (FLX15);;;
FLX20;FLX;FlixTrain;FlixTrain (FLX20);;;
FLX30;FLX;FlixTrain;FlixTrain (FLX30);;;
FLX35;FLX;FlixTrain;FlixTrain (FLX35);;;
frg001;DPN;Nahreisezug;;;;Bus 100 Passau 'Pra' (Brunnhölzl GmbH, Verbundtarif Donau/Wald)
fuebus;DPN;Nahreisezug;;;;
fwzBus;DPN;Nahreisezug;;;;
GA;GA;Go-Ahead Baden-Württemberg GmbH;;;;
GAIRE;IRE;Go-Ahead Baden-Württemberg GmbH;;;;
GAMEX;MEX;Go-Ahead Baden-Württemberg GmbH;Arverio Baden-Württemberg  (MEX);;;
GARB;RB;Go-Ahead Baden-Württemberg GmbH;;;;
GARE;RE;Go-Ahead Baden-Württemberg GmbH;Arverio Baden-Württemberg (RE);;;
ge2GEV;DPN;Nahreisezug;;;;
ge3GEV;DPN;Nahreisezug;;;;
geiBus;DPN;Nahreisezug;;;;
gf2001;DPN;Nahreisezug;;;Stadtwerke Cham GmbH;Durchgeführt von Omnibusunternehmen Johannes Baumgartner e.K.
gfn011;DPN;Nahreisezug;;;;
gfn012;DPN;Nahreisezug;;RBO;Regionalbus Ostbayern GmbH;41 Regensburg - Schwandorf,
gfn015;DPN;Nahreisezug;;;;
gfn020;DPN;Nahreisezug;;;;
ghuBus;DPN;Nahreisezug;;;;
grhBus;DPN;Nahreisezug;;;;
GY;GA;Go-Ahead Bayern GmbH;;;;
GYRB;RB;Go-Ahead Bayern GmbH;Arverio Bayern (RB);;;
GYRE;RE;Go-Ahead Bayern GmbH;Arverio Bayern (RE);;;
H4;RT;RegioTram;;;;
H6;HzL;Hohenzollerische Landesbahn (SWEG);;;;
H7;HzL;Hohenzollerische Landesbahn (SWEG);;;;
hggBus;DPN;Nahreisezug;;;;
HL;HSB;Harzer Schmalspurbahn;;;;
hnv030;DPN;Nahreisezug;;;;
hnv031;DPN;Nahreisezug;;;;
hnv034;DPN;Nahreisezug;;;;
hnv050;DPN;Nahreisezug;;;;
